Year,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
1996,44500,46250,46500,47450,51000,58795,77000,68500,57250,45000
1997,46995,49000,48950,50000,54500,63500,86000,74500,60000,47950
1998,48000,50000,50000,53500,57000,69000,96500,83000,66500,49500
1999,50495,53500,53000,57500,60000,76000,118000,92500,74000,53000
2000,52000,56500,56000,61044,67000,86500,138000,112000,85000,56500
2001,55000,60000,59950,70000,75950,99995,155000,126000,96250,60000
2002,60000,70000,70000,85000,89950,125000,180000,148000,123000,71000
2003,77500,85000,87500,107000,110000,145000,2.00E+05,169500,144950,87973
2004,95000,107500,110000,126000,128000,163000,220000,185000,164500,115000
2005,108000,119000,119995,132000,134000,169995,230000,192000,169950,125000
2006,119000,127500,128500,137000,142000,178000,245000,202000,178000,132500
2007,122000,134950,135000,144041.5,147000,190000,262500,219950,190000,140000
2008,120000,129500,129995,138000,142000,185500,258000,215000,185000,135000
2009,120000,130000,130000,135000,142000,175000,250000,203000,175000,132000
2010,122000,130000,135000,139000,147000,195000,287500,229000,190000,134950
2011,117000,127000,130000,135800,142500,189995,292500,223000,185000,130000
2012,120000,130000,130000,138000,145000,193000,3.00E+05,229000,187500,133000
2013,122500,132000,134950,141500,149995,2.00E+05,323000,235000,190000,135000
2014,125125,138500,139995,150000,156000,215000,365000,249950,2.00E+05,140000
2015,132500,145000,145000,160000,164000,238000,4.00E+05,273500,216000,144950
2016,134000,150000,150000,168000,170000,258000,441500,295500,229950,149000